,Date,State,Region,Confirmed,Deaths,Recovered
296,4/29/2020,Sint Maarten,Netherlands,75,13,33
297,4/29/2020,South Australia,Australia,438,4,420
298,4/29/2020,South Carolina,US,5882,231,0
299,4/29/2020,South Dakota,US,2373,13,0
300,4/29/2020,St Martin,France,38,3,24
301,4/29/2020,Tasmania,Australia,219,12,144
302,4/29/2020,Tennessee,US,10366,195,0
303,4/29/2020,Texas,US,27257,754,0
304,4/29/2020,Tianjin,Mainland China,190,3,183
306,4/29/2020,Turks and Caicos Islands,UK,12,1,5
307,4/29/2020,Utah,US,4497,45,0
308,4/29/2020,Vermont,US,862,47,0
309,4/29/2020,Victoria,Australia,1361,18,1291
310,4/29/2020,Virgin Islands,US,57,4,0
311,4/29/2020,Virginia,US,14962,522,0
312,4/29/2020,Washington,US,14070,801,0
313,4/29/2020,West Virginia,US,1110,38,0
314,4/29/2020,Western Australia,Australia,551,8,507
315,4/29/2020,Wisconsin,US,6520,308,0
316,4/29/2020,Wyoming,US,545,7,0
317,4/29/2020,Xinjiang,Mainland China,76,3,73
318,4/29/2020,Yukon,Canada,11,0,0
319,4/29/2020,Yunnan,Mainland China,185,2,181
320,4/29/2020,Zhejiang,Mainland China,1268,1,1263
